Start Frame,End Frame
70,128
194,231
349,428
477,545
678,744
830,870
1053,1113
1185,1243
1310,1370
1453,1529
1562,1610
1667,1711
1785,1833
1905,1963
2069,2124
2193,2237
2329,2373
2429,2493
2545,2578
2678,2748
2888,2942
2990,3059
3168,3242
3274,3328
3372,3411
3507,3586
3613,3665
3709,3762
3824,3865
3965,4044
4096,4136
4401,4488
4606,4657
4711,4750
4876,4930
4972,5029
5082,5173
5223,5271
5428,5480
5659,5696
5756,5825
5864,5917
5961,6025
6071,6122
6194,6249
6331,6380
6432,6475
6549,6608
6646,6719
6760,6814
6919,6964
7016,7074
7111,7151
7207,7278
7324,7351
7501,7563
