Start Frame,End Frame
109,151
204,268
283,337
370,434
459,507
578,641
683,785
804,868
918,983
1024,1104
1112,1166
1190,1255
1277,1361
1367,1439
1460,1538
1605,1663
1697,1781
1820,1879
1923,1974
2059,2106
2172,2229
2361,2436
2465,2549
2612,2669
2717,2800
2822,2858
2948,2991
3107,3176
3276,3366
3447,3488
3576,3654
3727,3796
3837,3888
3974,4022
4116,4170
4245,4293
4393,4442
4505,4545
4698,4745
4812,4860
4933,4996
5041,5104
5144,5196
5284,5332
5404,5466
5512,5574
5617,5663
5713,5778
5817,5881
5935,5980
6061,6103
6170,6221
6274,6314
6430,6477
6717,6771
6818,6869
6918,6956
7037,7120
7220,7279
7374,7401
