Start Frame,End Frame
36,59
198,230
307,349
463,496
586,618
727,762
859,912
1018,1044
1161,1190
1292,1322
1447,1483
1653,1684
1796,1836
1952,1986
2120,2168
2243,2287
2666,2703
2786,2849
2969,3044
3113,3149
3293,3330
3469,3522
3610,3643
3774,3847
3913,3967
4030,4060
4191,4230
4339,4368
4501,4537
4620,4662
4767,4820
4918,4975
5076,5110
5234,5272
5376,5402
5495,5562
5639,5678
5755,5802
5919,5964
6067,6112
6195,6238
6337,6356
6506,6520
6641,6670
6798,6822
6957,6993
7072,7097
7207,7230
7329,7352
7500,7539
