Start Frame,End Frame
92,156
193,269
354,388
476,530
606,658
726,769
851,905
1019,1070
1171,1213
1289,1337
1406,1443
1530,1558
1666,1719
1775,1811
1875,1931
2034,2061
2171,2189
2314,2335
2440,2471
2574,2620
2727,2758
2924,2961
3090,3123
3216,3265
3307,3349
3406,3434
3662,3712
3798,3844
3913,3954
4032,4062
4245,4292
4383,4424
4532,4565
4656,4694
4749,4792
4848,4883
4966,5012
5084,5120
5187,5242
5312,5338
5435,5466
5603,5635
5714,5757
5809,5843
5913,5956
6015,6066
6139,6176
6266,6306
6405,6453
6531,6575
6631,6668
6744,6797
6847,6907
6971,7002
7081,7109
7188,7222
7308,7355
